time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.445067,-0.108370,-0.000045,-0.058416,-0.650672,-0.003670,1.000000,0.000000,0.000000,48.458076,40.541695,41.541161,49.459068,31757.000000,26569.000000,27224.000000,32413.000000
0.100000,0.543643,0.175364,0.000003,2.409642,0.122529,-0.001377,2.000000,0.000000,0.000000,42.456703,47.025254,47.548638,42.969406,27824.000000,30818.000000,31161.000000,28160.000000
0.150000,1.084532,-0.096546,0.000079,0.518134,0.832982,0.003487,2.000000,0.000000,0.000000,48.326848,48.056764,41.678492,41.936370,31671.000000,31494.000000,27314.000000,27483.000000
0.200000,1.410840,-0.175498,0.000142,1.484918,1.177802,-0.001788,3.000000,0.000000,0.000000,47.238880,42.227817,42.761883,47.771420,30958.000000,27674.000000,28024.000000,31307.000000
0.250000,2.007129,-0.282241,0.000155,0.151704,-1.145515,-0.000052,3.000000,0.000000,0.000000,42.824445,46.213474,47.176318,43.785763,28065.000000,30286.000000,30917.000000,28695.000000
0.301000,2.441080,-0.408856,0.000146,0.378891,-0.891904,-0.000967,4.000000,0.000000,0.000000,44.951553,43.288319,45.046159,46.712444,29459.000000,28369.000000,29521.000000,30613.000000
0.350000,3.253085,-0.244728,0.000020,3.843852,-0.754582,0.001721,4.000000,0.000000,0.000000,41.588464,45.256733,48.409247,44.744030,27255.000000,29659.000000,31725.000000,29323.000000
0.400000,3.801284,0.062802,-0.000072,2.143997,0.759322,-0.003431,5.000000,0.000000,0.000000,44.464790,40.187686,45.534447,49.813077,29140.000000,26337.000000,29841.000000,32645.000000
0.450000,4.881867,-0.080355,0.000014,3.588186,-0.766451,0.004974,5.000000,0.000000,0.000000,43.691157,50.008392,46.318761,39.981689,28633.000000,32773.000000,30355.000000,26202.000000
0.499000,5.632322,-0.008168,-0.000027,4.234872,0.999376,0.002512,6.000000,0.000000,0.000000,46.239414,43.457694,43.758297,46.544594,30303.000000,28480.000000,28677.000000,30503.000000
